"","P37ST","S15","S16","S17","S14","S28D","P49ST.A","P49ST.B","P49ST.E","P76ST","P10ST","P4ST","S1NICC7","P6ST","P12ST","P13ST","IDENPA"
"208","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",49,"Media","Sí","8","5","7","4","Está progresando","Un poco mejor","Bastante","Buena","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"16446","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",36,"Baja","No","9","8","8","5","Está estancado","Un poco peor","Bastante","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"16197","La política no es tan complicada y se entiende","Soltero","Masculino",24,"Media alta","Sí","7","7","6","6","Está progresando","Mucho mejor","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"128","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",65,"Media baja","No","7","7","8","3","Está estancado","Igual","Mucho","Mala","Muy injusta","En algunas circunstancias, un gobierno autoritario puede ser","Argentina"
"17929","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",58,"Media baja","Sí","9","10 Totalmente democrático","9","3","Está estancado","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"18372","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",57,"Media","No","8","9","8","8","Está estancado","Un poco mejor","Mucho","Regular","Justa","A la gente como uno, nos da lo mismo un régimen democrático","Uruguay"
"5987","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",54,"Baja","No","7","8","7","NS/NR","Está estancado","Igual","Bastante","Muy mala","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Chile"
"14713","La política no es tan complicada y se entiende","Soltero","Femenino",27,"Media","No","7","10 Totalmente democrático","7","7","Está progresando","Un poco mejor","Bastante","Buena","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Paraguay"
"5936","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",20,"Media baja","No","10 Totalmente democrático","10 Totalmente democrático","NS/NR","5","Está estancado","Un poco peor","Poco","Regular","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Chile"
"3851","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",49,"Media baja","Sí","3","6","3","3","Está estancado","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"16299","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",38,"Media baja","No","5","8","7","NS/NR","Está progresando","Un poco mejor","Poco","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Peru"
"15559","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",42,"Media","Sí","3","NS/NR","NS/NR","NS/NR","Está estancado","Igual","Mucho","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"19103","La política no es tan complicada y se entiende","Soltero","Femenino",27,"Media baja","No","4","3","4","NS/NR","Está estancado","Igual","Mucho","Buena","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Venezuela"
"14410","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Masculino",62,"Media","Sí","5","NS/NR","7","8","Está estancado","Igual","Poco","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"657","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",42,"Media baja","No","6","8","NS/NR","4","Está progresando","Igual","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"15936","La política es tan complicada que no se entiende","Soltero","Masculino",26,"Media baja","Sí","5","6","7","5","NS/NR","Un poco mejor","Mucho","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"18920","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Femenino",70,"Media baja","No","6","NS/NR","NS/NR","8","Está en retroceso","Igual","Poco","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Uruguay"
"20148","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",49,"Alta","No","9","6","8","6","Está progresando","Igual","Bastante","Mala","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Venezuela"
"7838","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",40,"Media baja","No","8","9","9","5","Está estancado","Un poco peor","Poco","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"7694","La política no es tan complicada y se entiende","Soltero","Masculino",24,"Media","Sí","7","8","4","00 Izquierda","Está progresando","Un poco mejor","Bastante","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"4347","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",38,"Media","Sí","9","NS/NR","8","8","Está progresando","Un poco mejor","Poco","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"7587","La política es tan complicada que no se entiende","Soltero","Masculino",29,"Media","Sí","4","6","2","5","Está progresando","Un poco mejor","Poco","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"18829","La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",48,"Media alta","Sí","8","6","6","5","Está progresando","Mucho mejor","Bastante","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"3229","La política es tan complicada que no se entiende","Soltero","Femenino",66,"Baja","No","NS/NR","NS/NR","NS/NR","NS/NR","NS/NR","NS/NR","Poco","Regular","Injusta","NS/NR","Brazil"
"18008","La política es tan complicada que no se entiende","Soltero","Masculino",29,"NS/NR","Sí","10 Totalmente democrático","NS/NR","NS/NR","NS/NR","Está progresando","Un poco mejor","Bastante","Buena","Justa","A la gente como uno, nos da lo mismo un régimen democrático","Uruguay"
"15206","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",40,"Baja","No","5","8","6","7","Está estancado","Un poco mejor","Poco","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Paraguay"
"18851","La política es tan complicada que no se entiende","Separado/Divorciado/Viudo","Masculino",67,"Media baja","Sí","4","4","4","10 Derecha","Está estancado","Un poco peor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"3522","La política no es tan complicada y se entiende","Soltero","Masculino",18,"Media","Sí","4","8","9","10 Derecha","Está progresando","Mucho mejor","Mucho","Buena","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Brazil"
"4553","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",52,"Baja","No","10 Totalmente democrático","8","7","10 Derecha","Está estancado","Un poco peor","Mucho","Muy mala","Muy injusta","NS/NR","Colombia"
"18925","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",68,"Media alta","Sí","10 Totalmente democrático","7","6","6","Está estancado","Igual","Bastante","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"16474","La política es tan complicada que no se entiende","Soltero","Femenino",18,"Media","Sí","5","5","6","5","Está en retroceso","Igual","Mucho","Buena","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Peru"
"7417","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",34,"Media","No","4","3","3","NS/NR","Está progresando","Un poco mejor","Mucho","Buena","NS/NR","A la gente como uno, nos da lo mismo un régimen democrático","Ecuador"
"14475","La política es tan complicada que no se entiende","Soltero","Femenino",60,"Baja","No","3","4","8","NS/NR","Está en retroceso","Un poco peor","Mucho","Mala","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Paraguay"
"19159","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",33,"Media baja","Sí","6","6","4","00 Izquierda","Está progresando","Igual","Poco","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"3593","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",44,"Baja","No","6","7","5","7","Está estancado","Un poco peor","Mucho","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Brazil"
"4297","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",32,"Media alta","No","9","NS/NR","5","7","Está estancado","Un poco peor","Bastante","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"19578","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",24,"Media","Sí","4","4","8","5","Está estancado","Un poco peor","Mucho","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Venezuela"
"5942","La política es tan complicada que no se entiende","Soltero","Femenino",21,"Media baja","Sí","6","5","5","2","Está en retroceso","Un poco peor","Bastante","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"7663","La política es tan complicada que no se entiende","Soltero","Masculino",25,"Media","Sí","6","8","7","1","Está estancado","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"16692","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",61,"Media","Sí","8","6","7","5","Está progresando","Igual","Poco","Regular","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Peru"
"6636","La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",74,"Media baja","No","5","10 Totalmente democrático","7","5","Está progresando","Un poco peor","Bastante","Mala","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"18515","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",55,"Media","Sí","7","5","8","2","Está progresando","Un poco mejor","Bastante","Buena","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"15495","La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",24,"Media","No","5","5","5","5","Está estancado","Un poco mejor","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"1500","La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",74,"Media","No","5","5","7","NS/NR","Está estancado","Un poco peor","Bastante","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"14900","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",54,"Media baja","No","6","6","6","NS/NR","Está en retroceso","Un poco peor","Mucho","Mala","Muy justa","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"16675","La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",49,"Media baja","No","7","6","5","5","Está estancado","Igual","Poco","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Peru"
