@relation R_data_frame

@attribute S1NICC7 {Bastante,Mucho,NS/NR,'Poco - Nada'}
@attribute S15 {'Casado/ Conviviente',NS/NR,Separado/Divorciado/Viudo,Soltero}
@attribute S16 {Femenino,Masculino}
@attribute S17 numeric
@attribute S14 {Alta,Baja,Media,'Media alta','Media baja',NS/NR}
@attribute S28D {No,NS/NR,Sí}
@attribute P49ST.A {Democrático,'Ni Demo-Ni No Demo','No Democrático',NS/NR}
@attribute P76ST {Centro,Derecha,Izquierda,NS/NR}
@attribute IDENPA {Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Paraguay,Peru,Uruguay,Venezuela}
@attribute P1ST {'Bastante satisfecho','Muy satisfecho','No muy satisfecho',NS/NR,'Para nada satisfecho'}
@attribute P3ST.A {Buena,Mala,'Muy buena','Muy mala',NS/NR,Regular}
@attribute P3ST.B {Buena,Mala,'Muy buena','Muy mala',NS/NR,Regular}
@attribute P4ST {Igual,'Mucho mejor','Mucho peor',NS/NR,'Un poco mejor','Un poco peor'}
@attribute P10ST {'Está progresando','No está progresando'}
@attribute P15N {Empeorado,Mejorado,NS/NR,'Se ha mantenido igual'}
@attribute P19ST {'Grupos poderosos en su propio beneficio',NS/NR,'Para el bien de todo el pueblo'}
@attribute P28NE {Empeorará,Mejorará,NS/NR,'Seguirá igual'}
@attribute P65ST {'No tiene los medios',NS/NR,'Tiene los medios'}
@attribute P6ST {Buena,Mala,'Muy buena','Muy mala',NS/NR,Regular}
@attribute P12ST {Injusta,Justa,'Muy injusta','Muy justa',NS/NR}
@attribute P13ST {'A la gente como uno, nos da lo mismo un régimen democrático','En algunas circunstancias, un gobierno autoritario puede ser','La democracia es preferible a cualquier otra forma de gobier',NS/NR}

@data
Mucho,Soltero,Femenino,18,Media,Sí,'Ni Demo-Ni No Demo',Centro,Argentina,'Bastante satisfecho',Mala,Regular,'Un poco mejor','No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',NS/NR,'Tiene los medios',Buena,Injusta,'En algunas circunstancias, un gobierno autoritario puede ser'
Bastante,'Casado/ Conviviente',Femenino,71,'Media baja',No,Democrático,Derecha,Argentina,'Bastante satisfecho',Regular,Regular,Igual,'No está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,Soltero,Masculino,18,Media,No,'Ni Demo-Ni No Demo',Centro,Argentina,'Muy satisfecho',Regular,Regular,Igual,'No está progresando',Mejorado,'Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Femenino,60,'Media baja',Sí,'Ni Demo-Ni No Demo',Centro,Argentina,'Bastante satisfecho',Regular,Regular,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Femenino,40,'Media baja',Sí,'Ni Demo-Ni No Demo',Centro,Argentina,'Bastante satisfecho','Muy mala','Muy mala','Un poco peor','No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada','Casado/ Conviviente',Masculino,26,'Media baja',No,'Ni Demo-Ni No Demo',Centro,Argentina,'Bastante satisfecho',Mala,Mala,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Femenino,53,Media,No,'Ni Demo-Ni No Demo',Derecha,Argentina,'Muy satisfecho',Regular,Regular,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada',Soltero,Masculino,32,Media,No,'Ni Demo-Ni No Demo',Izquierda,Argentina,'No muy satisfecho',Regular,Mala,'Un poco peor','No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada','Casado/ Conviviente',Femenino,32,'Media baja',Sí,'Ni Demo-Ni No Demo',Derecha,Argentina,'Bastante satisfecho',Regular,Regular,'Un poco peor','No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada','Casado/ Conviviente',Masculino,71,Media,Sí,Democrático,NS/NR,Argentina,'Bastante satisfecho',Buena,Buena,'Un poco mejor','Está progresando',Mejorado,'Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Buena,Justa,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,Soltero,Femenino,23,Media,Sí,'Ni Demo-Ni No Demo',Centro,Argentina,'Bastante satisfecho',Buena,Buena,'Un poco mejor','Está progresando',Mejorado,'Para el bien de todo el pueblo','Seguirá igual','Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada','Casado/ Conviviente',Masculino,52,Media,Sí,Democrático,Izquierda,Argentina,'Bastante satisfecho','Muy buena',Buena,'Mucho mejor','Está progresando',Mejorado,'Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Buena,Justa,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada',Separado/Divorciado/Viudo,Masculino,76,'Media baja',Sí,'Ni Demo-Ni No Demo',Centro,Argentina,'Bastante satisfecho',Regular,Regular,'Un poco peor','No está progresando',Empeorado,'Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Regular,Injusta,'En algunas circunstancias, un gobierno autoritario puede ser'
'Poco - Nada','Casado/ Conviviente',Masculino,58,'Media baja',No,'Ni Demo-Ni No Demo',Centro,Argentina,'No muy satisfecho',Regular,Regular,Igual,'No está progresando',Mejorado,'Grupos poderosos en su propio beneficio',NS/NR,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada',NS/NR,Femenino,60,Media,Sí,'Ni Demo-Ni No Demo',Centro,Argentina,'Bastante satisfecho',Regular,Regular,Igual,'Está progresando',Mejorado,'Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,Separado/Divorciado/Viudo,Femenino,78,'Media baja',No,'Ni Demo-Ni No Demo',Derecha,Argentina,'No muy satisfecho',Mala,Mala,'Un poco peor','No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Buena,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada','Casado/ Conviviente',Masculino,58,Media,Sí,Democrático,Izquierda,Argentina,'Bastante satisfecho',Buena,Buena,Igual,'Está progresando',Mejorado,NS/NR,Mejorará,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada','Casado/ Conviviente',Femenino,62,Media,Sí,Democrático,Centro,Argentina,'Bastante satisfecho',Buena,Buena,Igual,'Está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Buena,Justa,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Femenino,60,'Media baja',Sí,'Ni Demo-Ni No Demo',Centro,Argentina,'Bastante satisfecho',Regular,Mala,'Un poco peor','No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Empeorará,'Tiene los medios',Regular,'Muy injusta','En algunas circunstancias, un gobierno autoritario puede ser'
'Poco - Nada',Soltero,Femenino,25,Media,Sí,Democrático,Izquierda,Argentina,'Bastante satisfecho',Buena,Buena,'Un poco mejor','Está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios','Muy buena',Justa,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada',Separado/Divorciado/Viudo,Masculino,77,Media,No,Democrático,NS/NR,Argentina,'Bastante satisfecho',Regular,Regular,Igual,'Está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada','Casado/ Conviviente',Masculino,60,'Media baja',No,Democrático,Centro,Argentina,'Bastante satisfecho',Mala,Mala,'Un poco mejor','No está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Masculino,30,Media,Sí,'Ni Demo-Ni No Demo',Centro,Argentina,'Bastante satisfecho',Regular,Buena,'Un poco peor','Está progresando',Mejorado,NS/NR,'Seguirá igual','Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,Soltero,Masculino,32,Alta,Sí,'Ni Demo-Ni No Demo',Centro,Argentina,'No muy satisfecho','Muy mala','Muy mala',Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Empeorará,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada','Casado/ Conviviente',Femenino,62,'Media baja',Sí,Democrático,Centro,Argentina,'Muy satisfecho',Buena,Buena,'Un poco mejor','Está progresando',Mejorado,'Grupos poderosos en su propio beneficio',NS/NR,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Femenino,40,'Media baja',Sí,'Ni Demo-Ni No Demo',Centro,Argentina,'No muy satisfecho',Regular,Mala,'Un poco peor','No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Buena,Injusta,'En algunas circunstancias, un gobierno autoritario puede ser'
Mucho,NS/NR,Femenino,44,Media,Sí,'Ni Demo-Ni No Demo',Centro,Argentina,'Bastante satisfecho',Regular,Mala,'Un poco peor','Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Masculino,31,'Media baja',Sí,'Ni Demo-Ni No Demo',Centro,Argentina,'Bastante satisfecho',Regular,'Muy mala','Un poco mejor','Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Masculino,77,'Media baja',No,'Ni Demo-Ni No Demo',Centro,Argentina,'Bastante satisfecho',Regular,Regular,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Empeorará,'Tiene los medios',Regular,Injusta,'A la gente como uno, nos da lo mismo un régimen democrático'
Mucho,'Casado/ Conviviente',Femenino,37,Media,Sí,Democrático,Izquierda,Argentina,'Muy satisfecho',Regular,Mala,Igual,'No está progresando',Empeorado,NS/NR,Empeorará,'Tiene los medios',Regular,Injusta,'En algunas circunstancias, un gobierno autoritario puede ser'
Mucho,Separado/Divorciado/Viudo,Femenino,55,Media,Sí,'Ni Demo-Ni No Demo',Centro,Argentina,'No muy satisfecho',Mala,Regular,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio','Seguirá igual','No tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Masculino,60,Media,Sí,'Ni Demo-Ni No Demo',Centro,Argentina,'Bastante satisfecho',Regular,Regular,Igual,'Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Regular,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
Mucho,Soltero,Femenino,18,Baja,No,'Ni Demo-Ni No Demo',Centro,Argentina,'Bastante satisfecho',Regular,Buena,'Un poco peor','No está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Femenino,61,Baja,No,'Ni Demo-Ni No Demo',Centro,Argentina,'No muy satisfecho',Mala,Mala,'Un poco peor','No está progresando',Empeorado,NS/NR,Mejorará,'No tiene los medios',Mala,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Masculino,34,Media,No,'Ni Demo-Ni No Demo',NS/NR,Argentina,'Bastante satisfecho',Mala,Mala,'Un poco peor','No está progresando',Mejorado,'Grupos poderosos en su propio beneficio',NS/NR,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada','Casado/ Conviviente',Femenino,46,'Media baja',Sí,'Ni Demo-Ni No Demo',NS/NR,Argentina,'No muy satisfecho',Regular,Buena,'Un poco mejor','Está progresando',Mejorado,NS/NR,NS/NR,'Tiene los medios',Buena,Injusta,NS/NR
'Poco - Nada',Separado/Divorciado/Viudo,Femenino,54,Baja,No,'Ni Demo-Ni No Demo',NS/NR,Argentina,'No muy satisfecho',Regular,Mala,'Un poco mejor','Está progresando',Empeorado,NS/NR,'Seguirá igual','Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,Separado/Divorciado/Viudo,Masculino,78,Baja,No,'No Democrático',Derecha,Argentina,'No muy satisfecho',Regular,Regular,'Un poco mejor','Está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Justa,'La democracia es preferible a cualquier otra forma de gobier'
'Poco - Nada',Soltero,Masculino,19,Baja,No,'Ni Demo-Ni No Demo',NS/NR,Argentina,'Para nada satisfecho',Mala,Mala,'Un poco peor','Está progresando',Empeorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Mala,'Muy injusta','A la gente como uno, nos da lo mismo un régimen democrático'
Mucho,Soltero,Masculino,18,'Media baja',Sí,Democrático,Centro,Argentina,'Bastante satisfecho',Regular,Regular,Igual,'No está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Masculino,60,'Media alta',Sí,Democrático,NS/NR,Argentina,'Bastante satisfecho',Buena,Buena,'Un poco mejor','Está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'No tiene los medios',Buena,Justa,'A la gente como uno, nos da lo mismo un régimen democrático'
Mucho,'Casado/ Conviviente',Femenino,25,'Media baja',No,'Ni Demo-Ni No Demo',Centro,Argentina,'Bastante satisfecho',Regular,Regular,'Un poco mejor','No está progresando',Empeorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,'Muy injusta','A la gente como uno, nos da lo mismo un régimen democrático'
Mucho,'Casado/ Conviviente',Masculino,41,'Media baja',No,Democrático,Centro,Argentina,'Bastante satisfecho',Buena,Buena,'Un poco mejor','Está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,Soltero,Femenino,27,Media,No,'Ni Demo-Ni No Demo',Centro,Argentina,'Bastante satisfecho',Regular,Regular,Igual,'No está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Femenino,56,Media,Sí,'Ni Demo-Ni No Demo',Izquierda,Argentina,'Bastante satisfecho',Buena,Buena,'Mucho mejor','Está progresando',Mejorado,'Grupos poderosos en su propio beneficio',NS/NR,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,Separado/Divorciado/Viudo,Femenino,68,Baja,Sí,'Ni Demo-Ni No Demo',Centro,Argentina,'Bastante satisfecho',Mala,'Muy mala','Un poco peor','No está progresando',Empeorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
Mucho,Soltero,Masculino,29,Baja,No,'Ni Demo-Ni No Demo',Izquierda,Argentina,'No muy satisfecho',Mala,Mala,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,Soltero,Masculino,18,Media,Sí,'Ni Demo-Ni No Demo',NS/NR,Argentina,'Bastante satisfecho',Buena,Buena,'Un poco mejor','No está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'No tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Masculino,65,'Media baja',No,'Ni Demo-Ni No Demo',Izquierda,Argentina,'Bastante satisfecho',Mala,Regular,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Empeorará,'No tiene los medios',Mala,'Muy injusta','En algunas circunstancias, un gobierno autoritario puede ser'
Bastante,Soltero,Femenino,24,'Media baja',Sí,Democrático,Centro,Argentina,'No muy satisfecho',Mala,Regular,'Un poco peor','No está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Mala,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Masculino,57,'Media alta',Sí,'No Democrático',Centro,Argentina,'Bastante satisfecho',Regular,Regular,'Un poco mejor','Está progresando',Mejorado,'Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Masculino,62,'Media baja',No,Democrático,Izquierda,Argentina,'Bastante satisfecho',Buena,Buena,'Mucho mejor','Está progresando',Mejorado,'Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Buena,Justa,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,Soltero,Femenino,20,Baja,Sí,'No Democrático',Izquierda,Argentina,'Bastante satisfecho',Regular,Mala,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Empeorará,'Tiene los medios',Regular,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
Mucho,NS/NR,Masculino,40,Media,Sí,Democrático,Centro,Argentina,'Muy satisfecho',Buena,Mala,'Un poco mejor','Está progresando',Mejorado,'Para el bien de todo el pueblo',NS/NR,'No tiene los medios',Buena,Justa,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Femenino,41,Baja,No,'Ni Demo-Ni No Demo',Centro,Argentina,'No muy satisfecho',Regular,Regular,NS/NR,'No está progresando',NS/NR,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,'Muy injusta','A la gente como uno, nos da lo mismo un régimen democrático'
Bastante,'Casado/ Conviviente',Femenino,65,'Media baja',Sí,'No Democrático',Centro,Argentina,'Bastante satisfecho',Regular,Mala,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Empeorará,'Tiene los medios',Mala,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
Mucho,Soltero,Femenino,27,'Media baja',Sí,'Ni Demo-Ni No Demo',Izquierda,Argentina,'Bastante satisfecho',Regular,Regular,'Un poco mejor','Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Femenino,45,Baja,Sí,'Ni Demo-Ni No Demo',Centro,Argentina,'No muy satisfecho',Regular,NS/NR,Igual,'No está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'En algunas circunstancias, un gobierno autoritario puede ser'
Mucho,'Casado/ Conviviente',Femenino,22,Media,No,'Ni Demo-Ni No Demo',Derecha,Argentina,'No muy satisfecho',Regular,Buena,'Un poco mejor','Está progresando',Mejorado,'Para el bien de todo el pueblo',Mejorará,'Tiene los medios',Regular,Injusta,'A la gente como uno, nos da lo mismo un régimen democrático'
Bastante,Separado/Divorciado/Viudo,Femenino,57,'Media baja',No,Democrático,NS/NR,Argentina,'No muy satisfecho',Regular,'Muy mala','Un poco mejor','Está progresando',Empeorado,'Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Regular,Justa,'En algunas circunstancias, un gobierno autoritario puede ser'
Bastante,Soltero,Masculino,28,Media,Sí,'Ni Demo-Ni No Demo',Centro,Argentina,'Muy satisfecho',Regular,Regular,'Un poco mejor','Está progresando',Empeorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'En algunas circunstancias, un gobierno autoritario puede ser'
Mucho,'Casado/ Conviviente',Femenino,26,Media,No,'Ni Demo-Ni No Demo',Centro,Argentina,'Muy satisfecho',Regular,Buena,Igual,'Está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'A la gente como uno, nos da lo mismo un régimen democrático'
Mucho,'Casado/ Conviviente',Femenino,34,Media,Sí,'Ni Demo-Ni No Demo',Centro,Argentina,'Muy satisfecho',Buena,Regular,'Mucho mejor','Está progresando',Mejorado,'Para el bien de todo el pueblo','Seguirá igual','Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Mucho,'Casado/ Conviviente',Masculino,59,Media,Sí,'Ni Demo-Ni No Demo',Centro,Argentina,'Muy satisfecho',Regular,Regular,Igual,'Está progresando','Se ha mantenido igual','Grupos poderosos en su propio beneficio',Empeorará,'Tiene los medios',Buena,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Masculino,59,Media,Sí,'No Democrático',Derecha,Argentina,'Muy satisfecho',Mala,'Muy mala','Un poco peor','No está progresando',Empeorado,'Grupos poderosos en su propio beneficio','Seguirá igual','Tiene los medios',Buena,'Muy injusta','La democracia es preferible a cualquier otra forma de gobier'
Bastante,'Casado/ Conviviente',Masculino,45,'Media baja',Sí,'No Democrático',Derecha,Argentina,'Bastante satisfecho','Muy mala','Muy mala','Mucho peor','No está progresando',Mejorado,'Grupos poderosos en su propio beneficio',Mejorará,'Tiene los medios',Regular,Injusta,'La democracia es preferible a cualquier otra forma de gobier'
