"P37ST","S15","S16","S17","S14","S28D","P49ST.A","P49ST.B","P49ST.E","P76ST","P10ST","P4ST","S1NICC7","P6ST","P12ST","P13ST","IDENPA"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",26,"Media","No","8","10 Totalmente democrático","6","NS/NR","Está progresando","NS/NR","NS/NR","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política es tan complicada que no se entiende","Soltero","Masculino",34,"Baja","No","01 No es democrático","6","4","4","Está estancado","Un poco peor","Bastante","Muy mala","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Brazil"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",35,"Media baja","No","5","6","5","5","Está progresando","Igual","Nada","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",39,"Media baja","Sí","8","8","7","NS/NR","Está estancado","Igual","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Argentina"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",62,"Baja","No","01 No es democrático","5","NS/NR","5","Está en retroceso","Igual","Bastante","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Paraguay"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",28,"Media","Sí","8","5","6","NS/NR","Está progresando","Igual","Mucho","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",57,"Media baja","No","4","7","7","6","Está estancado","Un poco mejor","Bastante","Buena","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Paraguay"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",63,"Media","No","8","7","4","7","Está progresando","Igual","NS/NR","Buena","Muy justa","A la gente como uno, nos da lo mismo un régimen democrático","Venezuela"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",55,"Baja","Sí","8","7","8","5","Está estancado","Un poco peor","Bastante","Regular","Injusta","NS/NR","Uruguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",66,"Baja","No","7","8","9","6","Está estancado","Igual","Bastante","Mala","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Paraguay"
"La política es tan complicada que no se entiende","Soltero","Masculino",30,"Baja","No","4","NS/NR","NS/NR","1","Está en retroceso","Un poco peor","NS/NR","Mala","Injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",26,"Baja","No","7","NS/NR","7","5","Está en retroceso","Un poco peor","Bastante","Mala","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Argentina"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",50,"Media","Sí","5","4","7","4","Está progresando","Un poco mejor","Poco","Regular","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Peru"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",33,"Media baja","No","8","10 Totalmente democrático","7","6","Está en retroceso","Un poco peor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",51,"Media baja","No","3","6","6","5","Está estancado","Igual","Mucho","Mala","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Paraguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",34,"Media","No","8","8","NS/NR","5","Está progresando","Un poco mejor","Bastante","Buena","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Brazil"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",37,"Media baja","No","6","7","8","6","Está estancado","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Paraguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",43,"Media","Sí","NS/NR","NS/NR","NS/NR","NS/NR","Está estancado","Un poco mejor","Poco","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",39,"Media baja","Sí","8","6","6","5","Está estancado","Un poco peor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",63,"Media","Sí","6","8","8","9","Está estancado","Mucho peor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política no es tan complicada y se entiende","Soltero","Femenino",25,"Media baja","No","10 Totalmente democrático","10 Totalmente democrático","6","4","Está en retroceso","Igual","Bastante","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Chile"
"La política no es tan complicada y se entiende","Soltero","Femenino",21,"Media","Sí","10 Totalmente democrático","8","10 Totalmente democrático","00 Izquierda","Está progresando","Un poco mejor","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política no es tan complicada y se entiende","Soltero","Masculino",22,"Media alta","Sí","6","9","8","5","Está progresando","Igual","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",70,"NS/NR","Sí","10 Totalmente democrático","01 No es democrático","9","5","Está progresando","Igual","Bastante","Buena","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",40,"Media","Sí","9","9","9","4","Está estancado","Mucho peor","Mucho","Buena","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Ecuador"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",43,"Media","Sí","4","6","6","7","Está estancado","Igual","Bastante","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Peru"
"La política es tan complicada que no se entiende","Soltero","Masculino",24,"Media","No","10 Totalmente democrático","10 Totalmente democrático","10 Totalmente democrático","NS/NR","Está estancado","Igual","Bastante","Regular","Injusta","NS/NR","Colombia"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",25,"Baja","No","5","7","7","NS/NR","Está progresando","Un poco mejor","Bastante","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Brazil"
"La política no es tan complicada y se entiende","Soltero","Femenino",25,"Media","Sí","5","5","5","5","Está progresando","Igual","Bastante","Regular","Muy injusta","A la gente como uno, nos da lo mismo un régimen democrático","Peru"
"La política no es tan complicada y se entiende","Soltero","Femenino",25,"Media","No","5","8","9","NS/NR","Está estancado","Igual","Mucho","Buena","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Paraguay"
"La política es tan complicada que no se entiende","Soltero","Femenino",44,"Media baja","No","8","NS/NR","NS/NR","NS/NR","NS/NR","Igual","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Chile"
"La política es tan complicada que no se entiende","NS/NR","Femenino",76,"Media baja","Sí","10 Totalmente democrático","8","8","3","Está progresando","Igual","Bastante","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",18,"Media baja","Sí","5","5","5","4","Está progresando","Un poco mejor","Bastante","Buena","Muy justa","En algunas circunstancias, un gobierno autoritario puede ser","Ecuador"
"La política es tan complicada que no se entiende","Soltero","Masculino",28,"Media baja","No","8","7","9","5","Está progresando","Un poco mejor","Poco","Regular","Injusta","A la gente como uno, nos da lo mismo un régimen democrático","Peru"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",60,"NS/NR","No","7","9","5","7","Está progresando","Un poco mejor","NS/NR","Buena","Justa","La democracia es preferible a cualquier otra forma de gobier","Ecuador"
"La política no es tan complicada y se entiende","Soltero","Femenino",56,"Media","Sí","5","3","5","5","Está progresando","Igual","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Uruguay"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",54,"Media baja","Sí","8","8","8","5","Está en retroceso","Un poco mejor","Poco","Buena","Muy injusta","En algunas circunstancias, un gobierno autoritario puede ser","Uruguay"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",27,"Baja","No","4","6","6","5","Está estancado","Un poco mejor","Poco","Buena","Justa","A la gente como uno, nos da lo mismo un régimen democrático","Colombia"
"La política no es tan complicada y se entiende","Separado/Divorciado/Viudo","Femenino",38,"Media baja","Sí","6","NS/NR","NS/NR","1","Está en retroceso","Un poco peor","Mucho","Mala","Muy injusta","NS/NR","Chile"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",52,"Media","No","5","9","8","5","Está estancado","Mucho peor","Mucho","Muy mala","Muy injusta","La democracia es preferible a cualquier otra forma de gobier","Venezuela"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Masculino",43,"Media","No","3","5","6","NS/NR","Está estancado","Un poco mejor","Bastante","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Femenino",53,"Media baja","Sí","10 Totalmente democrático","NS/NR","5","6","NS/NR","Un poco peor","Poco","Regular","Injusta","En algunas circunstancias, un gobierno autoritario puede ser","Uruguay"
"La política no es tan complicada y se entiende","Soltero","Femenino",19,"Media baja","No","9","9","3","5","Está estancado","Un poco mejor","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",34,"Baja","Sí","7","3","6","NS/NR","Está estancado","Un poco peor","Mucho","Regular","Injusta","NS/NR","Venezuela"
"La política es tan complicada que no se entiende","Soltero","Masculino",22,"Media baja","No","6","NS/NR","NS/NR","7","Está en retroceso","Igual","Mucho","Regular","Justa","La democracia es preferible a cualquier otra forma de gobier","Bolivia"
"La política no es tan complicada y se entiende","Soltero","Masculino",20,"Media","Sí","7","7","9","NS/NR","Está progresando","Un poco mejor","Mucho","Buena","Justa","En algunas circunstancias, un gobierno autoritario puede ser","Peru"
"La política no es tan complicada y se entiende","Casado/ Conviviente","Masculino",77,"Baja","No","4","3","3","5","Está en retroceso","Un poco peor","Mucho","Regular","Muy injusta","En algunas circunstancias, un gobierno autoritario puede ser","Colombia"
"La política es tan complicada que no se entiende","Casado/ Conviviente","Femenino",47,"Media baja","No","7","NS/NR","NS/NR","5","Está progresando","NS/NR","Mucho","Regular","Injusta","La democracia es preferible a cualquier otra forma de gobier","Colombia"
